id,n_of_stars,date,text
1al,5.0,"aug 21st, 2020","3 day turnaround, fast stealth excllent feedback. Got what i asked for> See ya again soon"
1al,5.0,"aug 21st, 2020",Didn't get all the strains i asked for but the quality made it still worth it.
1al,5.0,"aug 21st, 2020","fast shipping, on point once again!! great stealth"
1al,5.0,"aug 20th, 2020",excellent stealth excellent packaging very fast all great
1al,5.0,"aug 20th, 2020",Tins landed safe and sound. Been typing nothing but good reviews on VH for years . Nothing changed :)
1al,5.0,"aug 19th, 2020",Absolutely fire product!!
1al,5.0,"aug 18th, 2020",didnt get 2-3 flavors i requested but the shipping was fast so thats good.
1al,5.0,"aug 18th, 2020",Fire will be back
1al,5.0,"aug 18th, 2020",Good looking bud for the price.
1al,5.0,"aug 18th, 2020",Quality looks good for the price.  Arrived 4 days after ordering over the weekend.
1al,5.0,"aug 18th, 2020",super fast delivery and top shelf bud
1al,5.0,"aug 18th, 2020",Amazing
1al,5.0,"aug 18th, 2020",Gas as always
1al,5.0,"aug 18th, 2020",Pretty good for price. Fast shipping
1al,5.0,"aug 18th, 2020",supperrr fast shipping!
1al,5.0,"aug 17th, 2020","This is a very stealthy, top-tier product. Shit smells dumb good, can't wait to try it"
1al,5.0,"aug 16th, 2020",W o w. 2DD. Amazing. Just amazing.
1al,5.0,"aug 16th, 2020",Fast shipping.Quality trees. Nugs are on smaller side but super gas.
1al,5.0,"aug 16th, 2020","DoA 2 days again. Seems shipping transit is picking back up. Great strains as usual, great"
1al,5.0,"aug 16th, 2020",Good bud for the price
1al,5.0,"aug 13th, 2020","sorry for my tardiness! but as always great flavors, got what i asked for. shipping was fast once accepted and package was stealthy."
1al,5.0,"aug 12th, 2020",Very good packaging and quick shipping!
1al,5.0,"aug 11th, 2020",cant say enough good things about these guys
1al,5.0,"aug 11th, 2020",EXCELLENT!
1al,5.0,"aug 11th, 2020",This is THE best flower I have purchased for the BEST price on the dn to date. The quality of this is amazing! I ordered SS and PC. Arrived fast and well packaged as well. Look forward to ordering more!!
1al,5.0,"aug 10th, 2020",Gas
1al,5.0,"aug 10th, 2020","Ordered Wednesday around noon, received Monday morning. Stealth was on point. Very professional packing. Product is fire for the price, potent buds. Will be ordering more"
1al,5.0,"aug 10th, 2020",Lightning faat shipping. Professionally packaged. Nugs are ???. I am HAF. I cant wait for more to be in stock.
1al,5.0,"aug 10th, 2020",Great all around this is fire weed LOVED Grilla glue
1al,5.0,"aug 9th, 2020",fuck all yall other vendors ya;lllll can suck a fat dick this is the best for my buck on ch fuck the rest fuck all of yall lil ass nivggas yall can suck a valleyheated dick ya faggot ass niggaz fuck yall
1al,5.0,"aug 9th, 2020","Fire bud, easy resell for 50-60$, straight loud nose once you open the tins"
1al,5.0,"aug 7th, 2020",Came quickly and as described. Thanks!
1al,5.0,"aug 7th, 2020",better than all the other vendors reallly nobidy else has this deal he killin da game with one product
1al,5.0,"aug 7th, 2020",Deliciousssss
1al,5.0,"aug 7th, 2020",Shipping was fast and it smells great. Thanks
1al,5.0,"aug 6th, 2020","Solid bud, quick shipping too. Will definitely come back for more."
1al,5.0,"aug 5th, 2020","great shit  will be buying more so i can give options. got here quick,stealth was great and price was good"
1al,5.0,"aug 5th, 2020","DoA was only 2 days this time(!). Having a blast with this one, will purchase again in the future"
1al,5.0,"aug 5th, 2020","Repeat customer, good product/stealth as always and good qual, thanx again."
1al,5.0,"aug 4th, 2020",A great way to get a variety
1al,5.0,"aug 4th, 2020",Valleyheat always comes thru. This shit is so dank for the price
1al,5.0,"aug 3rd, 2020",fist off these guys are awesome I cant even begin to say enough about this crew.  was able to bundle my orders so everything arrived on time.  if you have any questions ask them they'll have answers for you pretty fast. shipping was 3d and stealth was great. even split the oz up into multiple strains so there are options.  really cant say enough good things about these guys.  will be back soon
1al,5.0,"aug 3rd, 2020",these guys are top notch.  They great at communicating with me and my many questions. people love these tins so much i had to get more before this pack even dropped so they were able to get them both to me super fast and extremely well packed.  split the orders up so i got five different strains which is awesome. these guys are here to help you in any way they can. super professional and a pleasure to do biz with.  probably one of the top three vendors ive dealt with over the last 10 years.
1al,5.0,"aug 3rd, 2020",Great bud for the price. Honestly looks better than pics and got some cool strains. Will def be back for these and my dudes other great products.
1al,5.0,"aug 3rd, 2020",fire flower
1al,5.0,"aug 2nd, 2020",A+ no issues
1al,5.0,"aug 2nd, 2020","i always like VH's vending. 
As to SFv boys...they have high quality but it is definitely not like it was. The strains are always authentic and the price is right if you buy them in pairs"
1al,5.0,"aug 1st, 2020",Weed is fire came in 3 business days Valley Heat is number one venor on CannaHomne for a reason
1al,5.0,"aug 1st, 2020",Thank you!
1al,5.0,"jul 31st, 2020","Amazing as always! Fast shipping, great stealth, and quality product."
1al,5.0,"jul 31st, 2020",Amazing quality and fast shipping. Never disappoints
1al,5.0,"jul 31st, 2020","Best prepackaged product for the price hands down. Quick shipping, good stealth and some nice tasty smoke. Will do business with again."
1al,5.0,"jul 31st, 2020",MMMMMM this is delicious!
1al,5.0,"jul 31st, 2020","Ordered Wed, arrived Monday. Don't live close either.  This stuff is fire too!"
1al,5.0,"jul 31st, 2020",Sent me the 2 strains I asked for!  Definitely worth trying! 5 stars!
1al,5.0,"jul 31st, 2020",Good packaging plus the product was fireeeeeeeeee!!!!
1al,5.0,"jul 31st, 2020",came fast and stealthy my custies will let me know if they good.. thx..
1al,5.0,"jul 30th, 2020","how the kids say it? No Cap? well no cap these cans is the wave bro!!! Pop a tin, NO CAP, AHHHHH!! lol"
1al,5.0,"jul 30th, 2020",BOYYYYY these shits is gas. My guy you did not let me down at all. God bless ya soul!
1al,5.0,"jul 29th, 2020",great flower for the price
1al,5.0,"jul 29th, 2020",Shit was Flame.
1al,5.0,"jul 29th, 2020","Alright, I am about to give one of the best reviews I've given (10k of orders on dn over years). I chose product quality as best vendor attribute but all but stealth was 11/10, stealth lacks a lot but my assumption is that due to low cost of order & fact that my state could care less (a fact any vendor would know) is the reason. Shipping was 1000+ miles and somehow took 1.5 days (minus a weekend). I intend on cautiously making this vendor my go to."
1al,5.0,"jul 29th, 2020",Returning customer here! ValleyHeat is a professional in all areas! Thank you again!
1al,5.0,"jul 28th, 2020",got all gg4 but its super gaaasss
1al,5.0,"jul 28th, 2020",Pretty gas stuff
1al,5.0,"jul 27th, 2020",this is some of the best bud ive gotten of the markets.  Legit as they get.  took 10 days though.  Ill be back.
1al,5.0,"jul 25th, 2020","Great quality for the price, sad there was only gg4 tho but some fire tree. Comms and stealth is excellent. Took a little longer on the shipping but thats not the vendors fault.  I'll be be back fs"
1al,5.0,"jul 24th, 2020",awesome a little stemmy but insanely potent bud for the price
1al,5.0,"jul 23rd, 2020",10/10
1al,5.0,"jul 23rd, 2020",These cans genneraly don't dissapoint. Nice. thx Valley!
1al,5.0,"jul 22nd, 2020","smaller fluffy nugs, but good for coming in this kind of packaging for the price, and absolutely stanky. great packaging, shipping, stealth too."
1al,5.0,"jul 22nd, 2020",ALWAYS AWESOME! Thank you Again!
1al,5.0,"jul 22nd, 2020",Came a bit late (can thank COVID for that) but product is superior quality as per usual. Will purchase again
1al,5.0,"jul 22nd, 2020",great as always. You guys are the best.
1al,5.0,"jul 22nd, 2020","Pleasant experience. For the price when you order more than a few, those 1/8th tins might be the best value on this site for flower. People that have never had a dispensary experience will love opening these up. The crumble is great as well. I'll be back soon."
1al,5.0,"jul 22nd, 2020",Beautiful flower at a great price.  I was shocked at the quality of this!
1al,5.0,"jul 22nd, 2020",Doesn't accept/ship as fast as some others. Once it was everything was timely and quality.
1al,5.0,"jul 21st, 2020",good gas. Fast shipping
1al,5.0,"jul 21st, 2020","Sick shipping. Good stealth. Good quality buds. No filler. Weighed in at a little over 3.5g. Good high. Aromatic as shit....wait, that doesn't sound good. Smells amazing. Very Aromatic.lol"
1al,5.0,"jul 20th, 2020","Awesome as usual! ValleyHeat is the best! Came quickly and easily, and couldn't be happier with the product"
1al,5.0,"jul 20th, 2020",Overall great bud for the price from VH. Bud is a bit dry. Only complaint would be that I got all of the same strain when I ordered the same day a new strain had dropped. Will be buying again.
1al,5.0,"jul 20th, 2020",a small mistake happened. Good things from this vendor though
1al,5.0,"jul 18th, 2020",good weed & def about to go crazy around the way! bless u
1al,5.0,"jul 18th, 2020",pretty good gas in the cans ill be back
1al,3.0,"jul 18th, 2020",Not the strain i picked fast shipping
1al,5.0,"jul 18th, 2020","great product, great service"
1al,5.0,"jul 18th, 2020",thanks again!!!
1al,5.0,"jul 17th, 2020","Stealth, Packaging, and Produxt all receive 5/5. Will def be back"
1al,5.0,"jul 17th, 2020","I am never disappointed with the quality of the products I receive. VH is my go to, just cracked a tin and wow...FIRE."
1al,5.0,"jul 17th, 2020",Great everything from VH. Got a tin of Punch which was more denser nugs and a tin of GG4 which was a little fluffier nugs but both were potent feugo.
1al,5.0,"jul 16th, 2020",Love the cans
1al,5.0,"jul 15th, 2020","Best bud i've ever smoked, ordering a lot more next time"
1al,5.0,"jul 15th, 2020","Priced right, nice product, nice packaging."
1al,5.0,"jul 14th, 2020","Packaging is pretty neat, buds were pretty small, but almost no stems, and the nose, taste and high were great, just didn't have the best bag appeal but the packaging makes up for that"
1al,5.0,"jul 14th, 2020",A+++++
1al,5.0,"jul 13th, 2020",2DD LIKE SERIUOOUSLY I WANNA EAT THIS CHICKS ASS BACKWARDS ON AN OAK TABLE THAT SITS ON AN EXPENSIVE RUG AND SOME WINE AND CHEESE LIKE OMG THIS WEED HAS ME HORNY
1al,5.0,"jul 13th, 2020",2DD SUPER STEALTH ILL SUCK HIS BALLS IF HE WAS A GUY AND EAT HER ASS IF SHES A CHICK
