id,n_of_stars,date,text
6ul,5.0,"jul 17th, 2020","Amazing product, excellent communication, packaging and shipping were spot on.  Thanks!"
6ul,5.0,"jul 17th, 2020",Hugh af thanks bro
6ul,5.0,"jul 17th, 2020",5/5
6ul,4.0,"jul 17th, 2020","5T2D.Quality was 7.5/10 imo nugs had somewhat trimming, but the orange hairs made up for it. will be back again"
6ul,5.0,"jul 16th, 2020",Top quality bud
6ul,5.0,"jul 16th, 2020","Yeah this poison sticky as hell... pretty stealthy, looked like a qp before it was broke down but that shit is just dense... it was it was in transit when i woke up.."
6ul,5.0,"jul 16th, 2020",great stuff as always with DA!
6ul,5.0,"jul 15th, 2020","Bud was solid. Not dry, was fresh. Packaging was A1!!!!"
6ul,5.0,"jul 14th, 2020","dense nugs really sticky, 5 order with da, hes got variety and its all smoking, thanks brotha"
6ul,5.0,"jul 14th, 2020",All good as USUAL
6ul,5.0,"jul 13th, 2020",Very impressed with my order! Truthfully I didn't expect too much but DA exceeded my expectations nonetheless. Shipping speed was 4 days total and that's something I can live with. Product was very dank and after smoking half the blunt I feel baked. Can't wait to order again I hate this listing is gone. Whoever left negative reviews were either hating or had way too high of an expectation.
6ul,5.0,"jul 13th, 2020","DA does it again. This shit is INCREDIBLE and shipped in no time flat, I'll definitely be coming back."
6ul,5.0,"jul 13th, 2020",A+
6ul,5.0,"jul 12th, 2020","Sorry for the late finalize, was too gassed from the weed. DarkAngus is the best."
6ul,5.0,"jul 11th, 2020","Five days from order to my door in midwest BFE, packaged well, was not dry at all, must be new batch. Happy with quality, very good high, decent size solid buds. Taste great. Very Happy with this purchase."
6ul,5.0,"jul 10th, 2020",Not as smelly as the last batch of DP but still good stuff.
6ul,5.0,"jul 9th, 2020","Stupid flame, smell on point. Big clean hairy gorilla finger nugs. This vendor is for real the plug. Will be back."
6ul,5.0,"jul 8th, 2020",Gas gas for your ass
6ul,5.0,"jul 6th, 2020",Great thanks!
6ul,5.0,"jul 6th, 2020","Strong and potent flower. Could use a better trim job, but for the price, it's so worth it. Quick shipping and weighed in at exactly 28.01. Very reliable. Thank you!"
6ul,5.0,"jul 6th, 2020","Good product, fast shipping, darkangus my dawg."
6ul,5.0,"jul 5th, 2020",gas
6ul,5.0,"jul 5th, 2020","Fast!  DP is always a classic. Light on initial nose until broken up, but hits like a mule."
6ul,5.0,"jul 5th, 2020",2 days to arrive and good smoke.
6ul,5.0,"jun 14th, 2020",gas
6ul,5.0,"jun 12th, 2020",Very good looking and good nose! slightly compressed but still very good!! 5/5 all around would recommend!
6ul,5.0,"jun 12th, 2020",amazing as alaways. i would have finalzied earlier but stuff came up
6ul,3.0,"jun 11th, 2020","fast shipping bud was very dry, literally shake aside from a couple nugs"
6ul,5.0,"jun 9th, 2020",SUPER FAST SHIPPING!
6ul,5.0,"jun 8th, 2020",CANNOT SAY ANYTHING BETTER THAN DARK'S DURBAN POISON! Thanks dude will be back as long as youre open!
6ul,5.0,"jun 8th, 2020","Fast shipping good stealth and great bud for the price, can never go wrong with DarkAngus"
6ul,5.0,"jun 8th, 2020",Thanks
6ul,5.0,"jun 8th, 2020","solid bud, kinda dry but covered in hair and trichs"
6ul,5.0,"jun 8th, 2020","Hands down the best vendor around!! If you aint shopping here, you're missing out."
6ul,5.0,"jun 7th, 2020",Sweet.  Thank you!
6ul,5.0,"jun 6th, 2020",FAST shipping! GREAT product! Thanks!
6ul,5.0,"jun 6th, 2020",loooovelllllyyyy
6ul,5.0,"jun 5th, 2020",perfect order...lightning fast shipping and the product is a+++!  thank you again DarkAngus!
6ul,5.0,"jun 5th, 2020","great ship speed, 4DD
Pretty good quality nugs, great nose - really gives off that durban poison quality
I got this because I have been on the hunt for a pure sativa. Highly recommend. 
Stealth could have been better though"
6ul,5.0,"jun 4th, 2020","Amazing as always, little dry this time but still smokes great."
6ul,5.0,"jun 4th, 2020",Fast shipping good looking stuff thanks!
6ul,5.0,"jun 4th, 2020",Durban poison is perfect for going out! Gets you high asf without feeling tired after. Smell is DANK and will engulf a good whole room in a matter of seconds. Purchase and see for yourself! (sorry for late feedback)
6ul,5.0,"jun 3rd, 2020","This batch of DP was def bottom of the bag small nugs but trimmed ok, waiting for the next fresh ass batch of DP :D"
6ul,5.0,"jun 3rd, 2020","Amazing shipping speed as usual. I would give 4 stars for quality as I expected bigger and stinkier huge nugs like I got last time, but last time was so good I will forgive the tiny drought buds I got that were $30 more this time around. Does look like the picture but I got 75% slightly dry popcorn nugs unfortunately. Tastes good (not as good as old DP) and has a very potent high though."
6ul,5.0,"jun 2nd, 2020","Fast 2day shipping. a bit dry but great bag appeal, decent smell & potent smoke."
6ul,5.0,"jun 1st, 2020","good bud, like always. A little dryer than usual and the nose isnt all there bud its def good quality bud."
6ul,5.0,"jun 1st, 2020",Fast shipping. Good gas. I'll be back fasho
6ul,5.0,"jun 1st, 2020",this is really some top notch weed. THe first time I bought Durban from this vendor the nugs came supersized! nugs were weighing in at 4/5 grams a piece. this batch was a definetly smaller. The nugs are still coming in at medium size with a pretty decent trim. Still super potent sticky frosty nugs. its honestly just beautiful to look at. Will Keep coming back
6ul,5.0,"may 29th, 2020",Awesome vendor. The Durban looks very nice. Thanks brother
6ul,4.0,"may 5th, 2020",i fucked up on my  end didnt get package. :(
6ul,5.0,"apr 28th, 2020",amazing weed for the price huge nugs definitely better then those vendors who overprice a zip for like 180-190 amazing smell and great appeal fast shipping to
6ul,5.0,"apr 28th, 2020",Took one week to EC due to USPS. Good stuff!
6ul,5.0,"apr 27th, 2020",good shit 1st time buy great product and will order again
6ul,5.0,"apr 25th, 2020",Some super nugs for a great price.
6ul,5.0,"apr 25th, 2020",Great bud especially for the price
6ul,5.0,"apr 24th, 2020","Excellent product! Love this strain too, wow what a sativa rush. Its got that crack the bag and stink up the house type thing going on too. Will be ordering again from this vendor."
6ul,5.0,"apr 24th, 2020",Super quick shipping to the EC. Great customer service
6ul,5.0,"apr 24th, 2020","Great deal. Medium sized buds that are sticky and burn real slow. Looks just like the pic and quality exceeds the price. Energetic and outgoing high,great for mornings."
6ul,5.0,"apr 23rd, 2020","Ordered Friday, received Tuesday. Stealth was good enough. Smokes great!"
6ul,5.0,"apr 21st, 2020","GREAT GREAT GREAT weed, and I am SO appreciative I could find a Sativa, which are harder for me to find.  Fast ship.  Will be back!"
6ul,5.0,"apr 7th, 2020",The Durban Poison quality is top shelf and amazing shipping speed and everything else was! 5/5
6ul,5.0,"apr 6th, 2020",Good shit.
6ul,5.0,"apr 6th, 2020","Great transaction,  speedy shipping!  Great product!"
6ul,5.0,"apr 6th, 2020",straight PRESSURE!!! Amazing sativa! So sorry for late finalize
6ul,5.0,"apr 5th, 2020",A+++ AS ALWAYS!!
6ul,5.0,"apr 5th, 2020",Bag appeal 5/10 | Stealth 7.5/10 | Shipping Speed 10/10 | High 10/10 | Nose 6/10
6ul,5.0,"apr 4th, 2020",simply the best. fast shipping too. will fe every time
6ul,5.0,"apr 4th, 2020",A1 as always. sorry for late feedback bro
6ul,5.0,"apr 4th, 2020",Amazing as always!
6ul,5.0,"apr 4th, 2020","Arrived safe and sound. Great quality, nicely overweight, smokes excellent. Needs a better trim job like most of DAs bud, but I still love it and am very satisfied at the price. I also love how DA is one of the few vendors on here that carries something other than the generic ""exoticz bs"" I see everywhere. I love seeing something other than fake runtz, gelato, cookies, etc. Thanks DA."
6ul,5.0,"apr 3rd, 2020","Classic, unmistakable Durban Poison flavor and aroma. Good moisture and cure-- fluffy and soft, yet crisp and snappy. This Durban is a great vape and smoke for the price, so I'm not complaining, but the only problem is this ounce has a lot of popcorn and super larfy littles, all trimmed very loosely. This quality level of sativa might cost closer to twice the price on here if it was all big nugs with a tight trim."
6ul,5.0,"apr 3rd, 2020","Rapid delivery and drama-free transaction. The Durban Poison is a winner - it ain't beautiful, because it has a classic sativa structure, but excellent herb nonetheless."
6ul,5.0,"apr 2nd, 2020",Shipped FAST! Tastes and smokes great...
6ul,5.0,"apr 2nd, 2020","Some fire, very potent buds! Had a massive amount of sugar leaf this time. more than usual though."
6ul,5.0,"apr 2nd, 2020","Great product. A great high. I'm a happy customer, and will be doing business again! Thank you."
6ul,5.0,"mar 31st, 2020",Always fire gas. I trust this vendor and will always FE.
6ul,5.0,"mar 24th, 2020",dank and fast as all hell as always. this mf is my doctor at this point
6ul,5.0,"mar 22nd, 2020",Sorry for the late finalize. 2DTD as usual. Great Product as usual. DA is a go to guy. A+
6ul,5.0,"mar 21st, 2020",BEST BUD EVER
6ul,5.0,"mar 21st, 2020","Excellent flower, Superb bag appeal and nose, excellent price and ubelievable shipping speed. Packaging was triple sealed and the flower was not crushed. Smoooth easy and great pricing AAA+"
6ul,5.0,"mar 21st, 2020",them buds was thic thic
6ul,5.0,"mar 20th, 2020",Received a large rectangle of massive frosty nugs stuck together. Couldnt be happier. DA ftw!
6ul,5.0,"mar 19th, 2020",Amazing as always. Shipping speed still fastest and will keep me coming back.
6ul,5.0,"mar 16th, 2020",Great stuff as always! Speedy shipping!
mik,5.0,"aug 24th, 2020",smokes pretty good.. very good stealth. i fw it!
mik,5.0,"aug 18th, 2020",what in the world. fire!
mik,5.0,"aug 15th, 2020","pack was apparently stolen, been with this vendor a long time and I'm thankful he was honest enough to issue me a refund. Good communication throughout the process really helped too. It sucks when things go wrong but if you pick the right vendor to consistently deal with, they'll have your back if they're as honest as this one. A true professional and it shows."
mik,5.0,"aug 9th, 2020",Excellent look and smoke!
mik,5.0,"aug 9th, 2020",fuckin gas mate
mik,5.0,"aug 7th, 2020",Beautiful frosty dark buds!!!
mik,5.0,"aug 7th, 2020",Some seriously purple gas here! Thanks again TnT for another Tier-ONE lvl of quality!
mik,5.0,"aug 7th, 2020","Amazing buds and amazing speed, Great service as always"
mik,5.0,"aug 7th, 2020","Decent enough flower, as advertised, great comms, and excellent service! I'm looking for something higher quality, and more potent, but this is a nice change. Very earthy. Thx TNT!"
mik,5.0,"aug 5th, 2020",This is personal all day. Fire as fuuuuuckkk
mik,5.0,"aug 2nd, 2020",super gass !! an came super fast!!
mik,5.0,"aug 1st, 2020","Acai Gelato is impressive in quality. Accurate Listing, good stealth. Very appreciated! Would def buy here again!"
mik,5.0,"jul 27th, 2020","Amazing Quality just like the picture, hits the spot just right"
mik,5.0,"jul 26th, 2020","Was initially a little upset with the price drop especially since I bought at $55 an eigth but honestly after trying this bud it's better then the $70 JB bags. happy with the purchase, weight was exact for icecream man, bubba and acai gelato. Acai gelato was my favorite and had best bag appeal. Ice cream man was on par though, nugs were insanely dense. Reminded me of a sundae driver strain I had in the past."
mik,5.0,"jul 25th, 2020","Flower is exactly as pictured.  Price is pretty fucking high, but I was willing to take the chance for the gas.  Glad I did, as it is exactly what I expected. One bummer, especially since price was high to begin with, is the listing has decreased in price while my package was in transit.  Otherwise, if you can afford it, you'll get what you paid for.  Thanks!"
p77,5.0,"aug 24th, 2020","This JB Sour Apple is tested at 26% THC, and is overall a great smoke! FoN is amongst the very best vendors, and everything they do, is super professional!!"
p77,5.0,"aug 19th, 2020",I really am mindblown. The speed at which this came is uncomparable. I called and you answered. Respect.
p77,5.0,"aug 19th, 2020",FE for FON. always lands. always fire.
p77,5.0,"aug 14th, 2020",very good
p77,5.0,"aug 11th, 2020",amazing lmao thanks man
p77,5.0,"aug 10th, 2020","5STARS, VERIFIRED, LOOK NO ELSEWHERE. HUMAN REVIEW 08/10/2020 MIDWEST. 2DAY SHIPPING"
p77,5.0,"aug 7th, 2020",Received it in like 2 days! wow FoN with the quickness!
p77,5.0,"aug 6th, 2020",Great Real Jungle Boys for sure even had the new stickers!
p77,5.0,"aug 5th, 2020",amazing
p77,5.0,"aug 4th, 2020",You get what you pay for. FON is beating a lot of my other orders' shipping times. Cheers!
p77,5.0,"aug 4th, 2020",i love you f0n. Perfext
n1s,5.0,"aug 28th, 2020","super flavorful, had to cherish till the last"
n1s,5.0,"aug 27th, 2020",Straight fire! Ima big fan of Runtz and this was legit Runtz. Process was smooth beginning to end. Will def return.
n1s,5.0,"aug 27th, 2020",Real deal exotic
n1s,5.0,"aug 26th, 2020",doc thats my nigga fasho! keep working we need more people like him! that peach cream my fav rn
n1s,5.0,"aug 14th, 2020",Best on the web
n1s,5.0,"jul 29th, 2020",It doesn't get much better than this.  Many thanks.
n1s,5.0,"jul 22nd, 2020",ARRIVED FAST AF. ABOUT TO TRY. THANKS FOR THE SOLID YOU DID ME ALSO MAN.
n1s,5.0,"jul 22nd, 2020",this is the shit
n1s,5.0,"jul 17th, 2020",Tremendous!
n1s,5.0,"jul 17th, 2020",Im getting more these are fanfukintastic
n1s,5.0,"jul 16th, 2020",10/10 all around
n1s,5.0,"jul 15th, 2020",Some real runtz no Frontz
l0r,5.0,"sep 1st, 2020",Top notch yet again.
l0r,5.0,"aug 28th, 2020","Quick shipping even with all the bullshit going on with usps, carts are good like always, looking forward to when he restocks so I can pick up more. Also the uptowns look good and taste good"
l0r,5.0,"aug 25th, 2020",A1 baby !
l0r,5.0,"aug 10th, 2020","Pack was a bit later due to USPS. Everything good as always, sour sherbet looks great."
l0r,5.0,"aug 9th, 2020","Fast shipping given the current situation, got a lb of Ice Cream Cake. Very similar to WN's Tahoe in terms of high, however, the smell and the bag appeal are better."
l0r,5.0,"aug 9th, 2020",yess
l0r,5.0,"aug 7th, 2020",I better get my dope lool thanks cat
l0r,5.0,"jul 22nd, 2020",thank you 5/5
l0r,5.0,"jul 21st, 2020",FE because these mfers been making me some GOOOOOODD money!
l0r,5.0,"jul 15th, 2020","Got purple urkle. Ordered monday, and they shipped monday. Arrived wednesday. Pack was 22g HEAVY!!!!  No shake, all buds.  INCREDIBLE stealth. Box came with a hole ripped on the top. Couldn't tell nor smell what was in there.  THIS is why I fuck with CNP. Thanks again."
l0r,5.0,"jul 12th, 2020",Great vendor with solid products. What's not to love!
l0r,5.0,"jul 10th, 2020","CNP is ""GOAT"" status.  Absolutely no one is faster than this team. Ghost train haze and carts flowing.  Quality is the best. Stop messin' around and spend some coin."
l0r,5.0,"jul 9th, 2020",Bacio Live Resin Pens are a solid 9/10
l0r,5.0,"jun 27th, 2020",Upstanding vendor who is on top of his game
l0r,5.0,"jun 21st, 2020",Just the tip
l0r,5.0,"jun 17th, 2020",Vendor was great with my order. Everything on time and as described. Will order from again.
dil,5.0,"aug 31st, 2020",real pink runtz
dil,5.0,"aug 28th, 2020",fire as usual
dil,5.0,"aug 28th, 2020",very nice
dil,5.0,"aug 28th, 2020",GAS PACK !!!
dil,5.0,"aug 27th, 2020","excellent buds ,  stealth , speedy shipping"
dil,5.0,"aug 27th, 2020",this pink runtz is off da foooooking chaaaain
dil,5.0,"aug 24th, 2020",all good
dil,5.0,"aug 24th, 2020",Fucking FLAMES
dil,5.0,"aug 24th, 2020",amazing
dil,5.0,"aug 21st, 2020",real runtz will tune in for more
dil,5.0,"aug 19th, 2020",good stuff.
dil,5.0,"aug 18th, 2020",Runtz - Tasty AF. Mild nose and nugs were decent. Not the best exotic I've had but still good for the price.
dil,3.0,"aug 15th, 2020",No comment
dil,5.0,"aug 15th, 2020",real runtz. need more of this.
dil,5.0,"aug 14th, 2020",Exquisite flowers
dil,5.0,"aug 12th, 2020",fireee
dil,5.0,"aug 12th, 2020",Immaculate
dil,5.0,"aug 11th, 2020",YUUUUPPPP
dil,5.0,"jul 28th, 2020",TTD 3 days great bud as always thanks EC!
dil,5.0,"jul 28th, 2020","Fire stuff, will be back!"
dil,5.0,"jul 27th, 2020","EC IS A STAND UP VENDOR!! DONT HESITATE TO ORDER, ORDER WITH CONFIDENCE!!"
dil,3.0,"jul 27th, 2020",Bricked up so tight... also short 1.5g. For $300 I expect more.
dil,4.0,"jul 24th, 2020",alright
dil,5.0,"jul 22nd, 2020",Was gassssssss
dil,5.0,"jul 21st, 2020",The Real Pink Runtz
dil,5.0,"jul 20th, 2020",thanks definitely will be back
dil,5.0,"jul 19th, 2020",Fast shipping and fire bud!
dil,5.0,"jul 18th, 2020",great weed
dil,5.0,"jul 18th, 2020",Beautiful Nugs! Great Smoke!
dil,5.0,"jul 15th, 2020",Great stuff! Super potent and smells amazing!
dil,5.0,"jul 13th, 2020",Great Weed great shipping ttd 4 days with weekend. awesome service. thanks EC!
dil,5.0,"jul 11th, 2020","Gas as always, this MAC a lil different than the previous tho!"
dil,5.0,"jul 11th, 2020",F.I.R.E.!!! :)
dil,5.0,"jul 11th, 2020",Had an issue with original delivery but was quickly corrected by the fine people at ExoticsClub
dil,5.0,"jul 10th, 2020",Didn't get the strain I asked for but still fire
dil,5.0,"jul 10th, 2020",fucking flames
dil,5.0,"jul 10th, 2020",No complaints. ALL good!
dil,5.0,"jul 10th, 2020",Request for wedding pie and birthday cake got birthday and mac smell got a and look good will update on how they smoke
dil,5.0,"jul 10th, 2020",flowers are dank as usual. dont hesitate to grab some
dil,5.0,"jul 8th, 2020","Weed was great, service was even better. Will be back for more"
dil,5.0,"jul 6th, 2020",First time ordering with EC. Got the Birthday Cake & MAC 1. Both smell great. Can't wait to try them out.
dil,5.0,"jul 6th, 2020","the Gas came in 3 days the nose for wedding pie and mac 1 is great and it smokes great as well, wanna see some new exotics tho i done had all of them"
dil,5.0,"jul 6th, 2020",Wedding Pie had some seeds. Super potent... like stupid potent.  Is it worth the price?  Maybe. hard to say.  I'm on the fence about ordering this again at this price point.
dil,5.0,"jul 3rd, 2020",Skrait fire as described! Honestly best bud I have ever received. White as cake. Threw me flat on my face.
dil,5.0,"jul 3rd, 2020",Thanks! Weedding Pie is now in my top 5. Comperssion was a little on the high side but looks like it will spring back.
dil,5.0,"jul 3rd, 2020",A+
dil,5.0,"jul 2nd, 2020",WOW best stuff ive had during this draught no questions.  thanks nab
dil,5.0,"jul 2nd, 2020","I won't lie, it did take around eight business days for my package to arrive and I had to leave for my trip early but I don't mind when quality comes to mind. Very great smell and amazing high,."
dil,5.0,"jul 2nd, 2020",Great weed great price
dil,5.0,"jul 2nd, 2020",Absolute FIREEEE!!!!!
dil,5.0,"jul 2nd, 2020",Absolute FIREEEE!!!!!
dil,5.0,"jul 2nd, 2020",i love this birthday cake exotics club def has the best exotics
dil,5.0,"jun 28th, 2020",Absolute fire!!!  Had to peel these sticky nugs off the plastic!
dil,5.0,"jun 27th, 2020",A1 since Day 1. What else needs to be said ?
dil,5.0,"jun 27th, 2020",smells great im sure it hits well too
dil,5.0,"jun 25th, 2020",Some of the best weed i've seen and 5DD including the weekend.
dil,5.0,"jun 25th, 2020","only complaint is that the weed is vac'd super tight and the buds were all compressed into one giant grinch looking bud, so the nugs aren't quite as pristine as in the pics.  Other than that it is solid.  Good smoke, pleasant high, worth the money in this drought"
dil,5.0,"jun 25th, 2020","quick shipping, fire product"
dil,5.0,"jun 24th, 2020",ALL GASS!! Came in 2-3 days!
dil,5.0,"jun 23rd, 2020",VERY NICE bud.  could not smell thru package but when opened Wow.  nice nose.
dil,5.0,"jun 23rd, 2020",gas
dil,5.0,"jun 23rd, 2020",Tried birthday cake and wedding pie so far. Wedding pie has gorgeous bag appeal but birthday cake stinks up the whole house immediately and puts you on your ass for a while. Stealth was top notch with quick shipping. I'm a repeat customer for a reason - EC doesn't disappoint
dil,5.0,"jun 23rd, 2020","Oh I love it when things work out. This Bud Is Fire.. And the package arrived with a little extra. always appreciate that love. A+++ Ship was super Stealth. The aroma, the flavor. best wedding cake On CH"
dil,5.0,"jun 22nd, 2020",stealth is phenomal. product is exactly as described. price is rough but all i appreciated in such hard times
dil,5.0,"jun 21st, 2020",Excellence in every dimension TY
dil,5.0,"jun 20th, 2020","First time with EC. I needed just a super dank personal zip, which was well worth the ticket. Keeping it like lord of the rings style smigul stuff. The birthday cake is my personal preference, def a dank indica. So loud you can't go in public without this vacuum sealed. Thanks, ill be back for my next personal."
dil,5.0,"jun 19th, 2020",Fire shit as always
dil,5.0,"jun 19th, 2020",Great exotic quality. Definitely worth the money.
dil,5.0,"jun 19th, 2020","Best ""cake"" strain I've ordered on CH.  Medical quality for sure.  Beautiful nugs.  Clean, smooth taste.  I've found my new favorite vendor.  Price is nuts."
dil,5.0,"jun 19th, 2020","Wonderful vendor, quality product, very tightly packed, just a touch overweight, everything I have come to expect from this vendor!"
dil,5.0,"jun 17th, 2020",A+
dil,5.0,"jun 17th, 2020",Fire as always tho I wish it wasn't so compressed
dil,5.0,"jun 17th, 2020",Wedding Pie was even more gorgeous in person than pictured! Smokes and smells great and definitely worth the price. Took a few days to ship after ordering but moved quick once shipped.
dil,4.0,"jun 17th, 2020",Decent smoke for the price but no where near the best. Stealth and shipping was fine but the buds were vac sealed to death. Plan on going elsewhere for exotics in the future
dil,5.0,"jun 16th, 2020",Super bomb shit fast shipping
dil,5.0,"jun 16th, 2020",5/5
dil,5.0,"jun 16th, 2020","A1 smoke. Arrived in 3 days. I received Wedding Pie and Birthday Cake, both strains were on point. Wedding Pie has a amazing aroma. Apologize for finalizing a couple days late!"
dil,5.0,"jun 14th, 2020",You get what you pay for... Totally worth the ticket
dil,5.0,"jun 14th, 2020",very good
dil,5.0,"jun 14th, 2020","box seems poked, bud was very loud and got me high af"
dil,5.0,"jun 13th, 2020","Price is a bit higher than I normally like to pay for a qp but thought id try something special. only complaints were slightly compressed and only 1 strand (I did not specify anything at all so cant complain) I got purple punch and it is FANTASTIC!!! normally I have to smoke a fat J to get where I want to be, didn't even finish the bowl here. DEFINITELY recommend to at least try some if you enjoy that fuego!!!! will be back!!"
dil,5.0,"jun 13th, 2020","AMAZING BUD. HOLY FUCK. I have a dry herb vaporizer so I can lower the temperature and taste the bud. This is, by far, some of the tastiest bud I have tried in my life. Gets you high as a mfer too. Expensive but fucking worth it."
dil,5.0,"jun 12th, 2020",Amazing stuff. Ordered the birthday cake. Very frosty and very and I mean very smelly. Have to go outside to roll the stuff. Very smooth draw. Overall great and truly lives up to the descriptions.
dil,5.0,"jun 12th, 2020",Mac 1 was gas! The buds were on the smaller side but it still hit! Will def be back
dil,5.0,"jun 11th, 2020","Absolute flames, definitely worth the ticket , 4DD. So sorry for the late finalize, will never happen again."
dil,5.0,"jun 11th, 2020",GAS! Stunk my whole house up. Sorry for late finalize my PCs cooler broke and had to wait for a new one to come in.
dil,5.0,"jun 11th, 2020","My god dude, this shit is GASSSS! Got Birthday Cake and the smell is straight up offensive. Definitely some of the best bud I've ever gotten anywhere. First time with EC but certainly wont be the last. Thanks again!"
dil,5.0,"jun 11th, 2020","Smell, smoke, PHENOMENAL. Exotic bud for the exotic folks!"
dil,5.0,"jun 11th, 2020",Fire as fuck Worth the ticket ill be back hella compressed tho I can deal with it but it can get better.
dil,5.0,"jun 11th, 2020",A1 vendor
dil,5.0,"jun 10th, 2020",fire! came quickly. one of my fav vendors <3
dil,5.0,"jun 10th, 2020","quick shipping thank you, I wouldn't consider mac exotic though."
dil,5.0,"jun 10th, 2020","The Mac is fuego! Good buzz, nose and flavor! I am impressed. I'll def be returning. Tx!!"
dil,5.0,"jun 10th, 2020",Shit is fire ! As soon as i got it i ordered more lol
dil,5.0,"jun 10th, 2020",Fire! you will not regret making this purchase.I Ordered wedding pie its frosty
dil,5.0,"jun 10th, 2020","7 days tor to door. Flower is really nice, but for 250 I expected WAY better honestly. solid experience with EC but just doesnt seem value IMHO"
dil,5.0,"jun 10th, 2020","excellent quality weed! selling for $70 a eighth,."
dil,5.0,"jun 10th, 2020","Look, I am one to give a honest review, the product was AmAzInG, I was getting comments like ""This is better than that dispensary shit"" which I agree as well. Shipping could of been a bit more quicker, but it was my fault anyway with providing a bad gpg key somehow in the beginning, so I'm giving benefit of the doubt that usually it doesn't take that long to ship usually. Regardless good shit, will be back again."
dil,5.0,"jun 8th, 2020","Had issue with previous order but Exotics took care of me, great customer service and response. He even hooked me up with diamonds thats what I call GO TO VENDOR. Got birthday cake and man it is AMAZING! and the Diamonds be DANCING!"
dil,5.0,"jun 8th, 2020","Amazing vendor to work with, a+ all around"
dil,5.0,"jun 8th, 2020",Took like 3 days. This is some gas.
dil,5.0,"jun 7th, 2020",Incredible product - as have been all of my transactions with EC :)
dil,5.0,"jun 7th, 2020","compressed, but the high is same or better than other vendors exotic or aaa. both strains feel aboud mid-20s % thc"
dil,5.0,"jun 6th, 2020",LOVE THESE EXOTICS
dil,5.0,"jun 6th, 2020","Came in 2 days! got Birthday Cake and Mac 1. both best flow i have seen in a while, shits on CS all day!!! Def coming back!!!!"
dil,5.0,"jun 6th, 2020",THIS IS DESIGNER LOUD AKA THE REAL ZA. EVERYONE TRYING IMITATE THIS RN BUT EXOTIC REALLY CLUB GOT IT. PPL GOTTA DO THEY RESEARCH. THIS RAPPER WEED .
dil,5.0,"jun 6th, 2020","fire bud and fast shipping, probably the best bud ive seen in my life lol"
dil,5.0,"jun 6th, 2020",Maybe the best weed I have ever smoked.
dil,5.0,"jun 6th, 2020",A1
dil,5.0,"jun 6th, 2020",Best bud I've gotten on any DNM for real. this shit is dank
dil,5.0,"jun 5th, 2020",Birthday Cake was fire good nose and the bud is fresh. Got here fast considering everything going on
dil,5.0,"jun 5th, 2020","i enjoy both the bdc and mac1
average weight per oz was 30g"
dil,5.0,"jun 5th, 2020","Yo, this WP is straight pressure, wasn't too impressed at first look, after smoking it's possibly one of the best flowers I've ever had, and that is saying A LOT.  True weed lords should try that WP...."
dil,5.0,"jun 5th, 2020",came in 3 days guy The birthday cake looks and smoke amazing !!! most def worth the 250 if its for your personal smoke
dil,5.0,"jun 5th, 2020",Best weed ive ever seen bro! A+ Keep up the good work
dil,5.0,"jun 4th, 2020","compressed af and found a seed, but still ok"
dil,5.0,"jun 3rd, 2020",very frosty and  smelly 5 days t2d.i love the product.
dil,5.0,"jun 3rd, 2020",DANK DANK
dil,5.0,"jun 2nd, 2020",Gas pack
dil,5.0,"jun 2nd, 2020",Super crip Houston we have lift off
dil,5.0,"jun 2nd, 2020",straight gas from the best vendor on here. look no further
dil,5.0,"jun 1st, 2020","Dank shit, as always. Love exoticclub so so much"
dil,5.0,"jun 1st, 2020",OMG!!! this is some crazy stuff!! amazing the wedding cake and wedding pie are super frosty and purple. WIFI and MAC 1 nice green wifi is more frosty than mac but omg the smell on all of them are insane!! defetnly coming back!!
dil,5.0,"jun 1st, 2020",fire 10/10
dil,5.0,"jun 1st, 2020","I can definetly tell the drought is r3eal, bc shit wedding pie a month or 2 ago was 50% more frosty and been depressed we haven't found anything as good since this is the closest second lol. better than calsource secret weed lol."
dil,5.0,"may 31st, 2020",wtf are you reading for still? stfu and dont waste time with other bs. FOR EAL. I live in CO this is the ONLY vendor with the mile high quality.
dil,5.0,"may 30th, 2020",Had a hiccup but seller took care of the issue! Bud is no complaint its top of the top I love it!
dil,5.0,"may 29th, 2020",Enjoyed finally having the chance to get Mac 1.
dil,5.0,"may 29th, 2020",Gasoline
dil,5.0,"may 29th, 2020",fuego
dil,5.0,"may 28th, 2020",Got the MAC. Smells and smokes great.
dil,5.0,"may 28th, 2020",Some of the best.
dil,5.0,"may 27th, 2020",Got the MAC 1 and Birthday Cake. The MAC 1 is absolute fire. Trim is great. Frosty and bright green. Great bag appeal. Dank smell. The Birthday Cake is even better. Frostier. Stickier. Moment I opened the bag my entire place started to smell. Had to light a candle. All well worth the price.
dil,5.0,"may 26th, 2020","Im not too sure what i got but i think its the wifi, shit has a crazy nose,havent smoked it yet. came quick and stealthy"
dil,5.0,"may 26th, 2020","So who was gonna tell me when you buy an O of this you get like 6 nugs that are like 2.5+g each? I'm not sure which strain I got, I didn't specify and didn't really care anyway. I've been hitting a lot of concentrates lately and I'm sure my tolerance is fairly high at the minute, but this got me noticeably higher when I was already a few dabs in.
Tastes kind of sweet, full of crystals, there's even a bunch of crystals on the side of the bag. I can't recommend enough, definitely worth it for you"
dil,5.0,"may 26th, 2020",Straight gas Best of the best baby BBS
