name,id,amount,price,category,main_product_name,main_product_id,shipping_from,ratings,vendor
,1bq,112 g,$850,flowers,28g Larry Bird Modern Indoor Medical Marijuana,1bn,United States,79,SFTreats
Super Jack Indoor,kmb,,$80,flowers,Super Jack Indoor,kmb,United States,57,BuddhaBazaar
14G CHEM DAWG (SATIVA),1rq,1 piece,$90,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
7G CHEM DAWG (SATIVA),1rp,1 piece,$60,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
4G CHEM DAWG (SATIVA),1ro,1 piece,$35,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
28G CHEM DAWG (SATIVA),1rr,,$165,flowers,28G CHEM DAWG (SATIVA),1rr,United States,819,drgreenthumb4201
1$ Listing,152,,$1,flowers,1$ Listing,152,United States,412,ValleyHeat
400MG Box of Edible Gummies (5 boxes),jvw,20 pcs,$100,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,jw0,40 pcs,$190,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,jw4,80 pcs,$360,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,k1v,200 pcs,$850,flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,k1z,400 pcs,"$1,600",flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
,k23,1200 pcs,"$4,500",flowers,400MG Box of Edible Gummies (5 boxes),jvw,United States,42,ForcesOfNature
Tip Jar,1gu,,$1,flowers,Tip Jar,1gu,United States,66,outerviscera
TIP JAR/ CUSTOM ORDER,1qn,,$1,flowers,TIP JAR/ CUSTOM ORDER,1qn,United States,217,budsanddrugs
,3gw,4 grams,$41,flowers,10g LSD OG Medical Grade Indica,3h2,United States,41,green_usa
,3gy,7 grams,$69,flowers,10g LSD OG Medical Grade Indica,3h2,United States,41,green_usa
10g LSD OG Medical Grade Indica,3h2,10 grams,$105,flowers,10g LSD OG Medical Grade Indica,3h2,United States,41,green_usa
Pineapple Express PEX/ 28 Grams,6fe,28 grams,$168.75,flowers,Pineapple Express PEX/ 28 Grams,6fe,United States,103,DarkAngus
,6fi,112 grams,$650,flowers,Pineapple Express PEX/ 28 Grams,6fe,United States,103,DarkAngus
,6fm,225 grams,"$1,250",flowers,Pineapple Express PEX/ 28 Grams,6fe,United States,103,DarkAngus
,6fq,450 grams,"$2,300",flowers,Pineapple Express PEX/ 28 Grams,6fe,United States,103,DarkAngus
Zkitzo Bananas Indoor 3.5g,m7f,,$35,flowers,Zkitzo Bananas Indoor 3.5g,m7f,United States,30,Frost_Garden
Miscellaneous,lje,,$1,flowers,Miscellaneous,lje,United States,30,Frost_Garden
4g Gorilla Glue Medical Grade Indica,2x2,4 grams,$42,flowers,4g Gorilla Glue Medical Grade Indica,2x2,United States,30,green_usa
,2x4,7 grams,$69,flowers,4g Gorilla Glue Medical Grade Indica,2x2,United States,30,green_usa
,2x6,10 grams,$105,flowers,4g Gorilla Glue Medical Grade Indica,2x2,United States,30,green_usa
4g Kosher Kush Medical Grade Indica,3gk,4 grams,$41,flowers,4g Kosher Kush Medical Grade Indica,3gk,United States,30,green_usa
,3gm,7 grams,$69,flowers,4g Kosher Kush Medical Grade Indica,3gk,United States,30,green_usa
,3go,10 grams,$105,flowers,4g Kosher Kush Medical Grade Indica,3gk,United States,30,green_usa
28g Orange Creamsicle,lmj,28 grams,$150,flowers,28g Orange Creamsicle,lmj,United States,131,TinySnail
,l1x,56 grams,$300,flowers,28g Orange Creamsicle,lmj,United States,131,TinySnail
,ld0,112 grams,$575,flowers,28g Orange Creamsicle,lmj,United States,131,TinySnail
,ld4,224 grams,"$1,150",flowers,28g Orange Creamsicle,lmj,United States,131,TinySnail
,ld8,448 grams,"$2,200",flowers,28g Orange Creamsicle,lmj,United States,131,TinySnail
3.5g Harlequin CBD Light Dep,l20,3.5 grams,$15,flowers,3.5g Harlequin CBD Light Dep,l20,United States,26,StrainPirate
,l24,1 ounce,$85,flowers,3.5g Harlequin CBD Light Dep,l20,United States,26,StrainPirate
,jm8,3.5 grams,$55,flowers,14g Indoor Top Shelf OG Kush by MedMen-Partnered Farms,jmg,United States,25,TreesNTreats
,jmc,7 grams,$85,flowers,14g Indoor Top Shelf OG Kush by MedMen-Partnered Farms,jmg,United States,25,TreesNTreats
14g Indoor Top Shelf OG Kush by MedMen-Partnered Farms,jmg,14 grams,$150,flowers,14g Indoor Top Shelf OG Kush by MedMen-Partnered Farms,jmg,United States,25,TreesNTreats
,jmk,28 grams,$275,flowers,14g Indoor Top Shelf OG Kush by MedMen-Partnered Farms,jmg,United States,25,TreesNTreats
TIP Jar/$1,62d,,$1,flowers,TIP Jar/$1,62d,Anguilla,30,DarkAngus
Bubba Kush BK/ 28 Grams,3ah,28 grams,$165.63,flowers,Bubba Kush BK/ 28 Grams,3ah,United States,34,DarkAngus
,3aj,112 grams,$637.50,flowers,Bubba Kush BK/ 28 Grams,3ah,United States,34,DarkAngus
,61x,225 grams,"$1,225",flowers,Bubba Kush BK/ 28 Grams,3ah,United States,34,DarkAngus
,3al,450 grams,"$2,250",flowers,Bubba Kush BK/ 28 Grams,3ah,United States,34,DarkAngus
,ovn,7 grams,$90,flowers,Jack frost - 1 oz Top Shelf,ee3,United States,23,Bloomin_Buds
,edz,14 grams,$165,flowers,Jack frost - 1 oz Top Shelf,ee3,United States,23,Bloomin_Buds
Jack frost - 1 oz Top Shelf,ee3,1 ounce,$300,flowers,Jack frost - 1 oz Top Shelf,ee3,United States,23,Bloomin_Buds
,ovj,4 ounces,"$1,050",flowers,Jack frost - 1 oz Top Shelf,ee3,United States,23,Bloomin_Buds
***FOUR GRAM PARTY PACK*** Weed/Hash,1vm,,$49,flowers,***FOUR GRAM PARTY PACK*** Weed/Hash,1vm,United States,46,ModernLove
10x Headband 818 seeds,1bp,10 pieces,$50,flowers,10x Headband 818 seeds,1bp,United States,25,ValleyHeat
,1bs,20 pieces,$80,flowers,10x Headband 818 seeds,1bp,United States,25,ValleyHeat
,1bt,30 pieces,$90,flowers,10x Headband 818 seeds,1bp,United States,25,ValleyHeat
Durban Poison DP/28 Grams,6ul,28 grams,$190.63,flowers,Durban Poison DP/28 Grams,6ul,United States,200,DarkAngus
,6up,112 grams,$737.50,flowers,Durban Poison DP/28 Grams,6ul,United States,200,DarkAngus
,6ut,224 grams,"$1,425",flowers,Durban Poison DP/28 Grams,6ul,United States,200,DarkAngus
,6ux,450 grams,"$2,650",flowers,Durban Poison DP/28 Grams,6ul,United States,200,DarkAngus
,mi8,3.5 g,$55,flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
,mic,7 g,$90,flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
,mig,14 g,$165,flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,1 oz,$310,flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
,mio,2 oz,$600,flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
,mis,4 oz,"$1,150",flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
,rt7,8 oz,"$2,275",flowers,28g Indoor Top Shelf Exotic Acai Gelato by MedMen-Partnered Farms,mik,United States,21,TreesNTreats
